Doukutsu Monogatari - Flag list     (aka Cave Story)
 by Kapow - 2006 April 29
 http://lotlot.net/misc/doukutsu/flags.txt
 email: kapow @ the above site

FLAGS (FL+/FL-/FLJ)
=====
Chron Group   FLAG    TSC    Description
075   Shelt   25D/2   0522   Kazuma is standing
077   Shelt   25D/3   0523   Kazuma/Booster in Weed (before scooter)
222   Shelt   25D/4   0524   Teleporter in Shelt is active
078   Shelt   25D/5   0525   Save Point and Health Refill appear in Shelt
056   WeedD   25F/4   0540   POWER-UP - Life Capsule in WeedD
067   WeedB   260/6   0550   POWER-UP - Missiles in WeedB (fought Rabil)
088   Curly   262/0   0560    [set when Curly fight starts]
090   Curly   262/1   0561   Currently fighting Curly (locks doors from Curly to Sand/CurlyS)
091   Curly   262/2   0562   Told Curly you won't kill the Mimigas
092   Curly   262/3   0563   WEAPON - Machine Gun
093   Curly   262/4   0564   Can get Hajime (after Jenka asks you to get the puppies)
089   Curly   262/5   0565   Curly and Mimiga children not in Curly (sand zone residence)   I don't understand how the Curly fight sets this…
094   CurlyS  264/4   0580   ITEM - Hajime
097   CurlyS  264/5   0581   ITEM - Curly's Underwear
101   Jenka*  265/6   0590   Gave 1st Puppy to Jenka (note: says "Arf!"
105   Jenka*  265/7   0591   Gave 2nd Puppy to Jenka (note: says "Arf arf!"
109   Jenka*  266/0   0592   Gave 3rd Puppy to Jenka (note: says "Arf arf arf!"
112   Jenka*  266/1   0593   Gave 4th Puppy to Jenka (note: says "Booop."
118   Jenka*  266/2   0594   Gave 5th Puppy to Jenka (note: says "Five!", but you don't get a chance to talk to it)
116   Jenka*  266/3   0595   Balrog stole storehouse key
119   Jenka*  266/4   0596   Jenka stood up after Balrog's attack
107   Dark    268/2   0610   ITEM - Shinobu
120   Gard    269/4   0620   Saw Toroko red flowers cutscene
121   Gard    269/5   0621   Currently fighting Frenzied Toroko (locks door from Gard to Sand)
123   Gard    269/6   0622   King died
122   Gard    269/7   0623   Frenzied Toroko defeated (can talk to King)
124   Gard    26A/0   0624   Door leads to SandE (for Misery teleport cutscene)
125   MazeI   26C/0   0640    [something with Quote falling into the room?]
129   MazeI   26C/1   0641   Opens door from MazeI to MazeH
128   MazeI   26C/2   0642   POWER-UP - Life Capsule in MazeI
141   MazeW   271/0   0680    [Monster X fight triggered?]
134   MazeW   271/1   0681   Opens door from MazeW to MazeD
133   MazeO   273/4   0700   ITEM - Clinic Key
132   MazeO   273/5   0701   Talked to Curly in MazeO once
137   MazeO   273/6   0702   Gave Cure All to Gero
138   MazeO   273/7   0703   Curly will be cured
140   MazeO   274/0   0704   Curly not in MazeW
131   MazeO   274/1   0705   ITEM - Arms Barrier
136   MazeD   274/6   0710   Currently fighting Pooh Black (locks door from MazeD to MazeW)
135   MazeD   274/7   0711   ITEM - Cure All
155   MazeA   276/0   0720   Teleporter in MazeM active
130   MazeA   276/1   0721   Bought something from Chaba (Turbocharge, Snake, or Whimsical Star)
201   MazeA   276/2   0722   EQUIP - Whimsical Star
142   MazeB   278/4   0740   Saw Booster fall in MazeB
143   MazeB   278/5   0741   Booster not in MazeB
145   MazeB   278/6   0742   EQUIP - Booster v0.8
198   MazeB   278/7   0743   EQUIP - Booster v2.0
197   MazeB   279/0   0744   Teleporter in MazeB active
139   MazeS   27B/0   0760   Curly not in MazeO
146   MazeS   27B/1   0761   Curly ready to lift boulder
147   MazeS   27B/2   0762   Balrog in MazeS
148   MazeS   27B/3   0763   Currently fighting Balrog 3 (locks door from MazeS to MazeB)
149   MazeS   27B/4   0764   Opens door from MazeS to MazeM (boulder moved)
150   MazeS   27B/5   0765   Balrog 3 defeated (Super Missile chest appears)
152   MazeS   27B/6   0766   WEAPON - Super Missile
156   MazeM   27D/4   0780   Passageway in MazeM permanently open (from entering Drain once)
151   MazeM   27D/5   0781   Curly in MazeM
154   MazeM   27D/6   0782   Used computer to open passageway in MazeM
170   MazeM   27D/7   0783   Locks door from MazeM to Drain (after drowning cutscene)
176   Drain   280/0   0800   Locks door from Drain to MazeM (after drowning cutscene)
175   Drain   280/1   0801   Opens grate from MazeM to River (after drowning cutscene)
157   Almond  282/4   0820   Curly is next to first shutter
158   Almond  282/5   0821   Opens shutters
159   Almond  282/6   0822   Shutter 4 stuck, Curly is next to shutter 4
160   Almond  282/7   0823   Shutter 4 fixed
162   Almond  283/0   0824   Lowered lift in Almond
163   Almond  283/1   0825   Opens big shutter
161   Almond  283/2   0826   Curly is next to big shutter
164   Almond  283/3   0827   Curly is next to broken robot
166   Almond  283/4   0828   Currently fighting Core (can't get Tow Rope)
172   Almond  283/5   0829   Curly drowning in Almond (before picking her up with Tow Rope)
173   Almond  283/6   0830    [lots of effects, set after drowning cutscene]
184   Almond  283/7   0831   Closes big shutter
168   Almond  284/0   0832    [water level rose?]
144   Almond  284/2   0834   ITEM - Tow Rope (also set when getting Booster v0.8)
183   Almond  284/3   0835   Brought Curly out of Almond (computer in Pixel mentions notebook)
182   Almond  284/4   0836   Currently have Curly (unconscious) on your back
169   Almond  284/5   0837   Core defeated (Curly dialogue change)
174   Almond  284/6   0838    [set after drowning cutscene, but has no effect?]
165   Almond  284/7   0839   Locks door from Almond to Drain (after getting Tow Rope, before drowning cutscene)
192   River   286/2   0850   River leads to Pool instead of Stream (but you can't get back to River anyway)
191   River   286/3   0851   Curly dead (after message shown in River)
202   Eggs2   28A/0   0880   POWER-UP - Missiles in Eggs2
203   EggR2   28F/0   0920   POWER-UP - Missiles in EggR2 (makes Save Point appear)
204   EggR2   28F/1   0921   Currently fighting Sisters (locks doors from EggR2 to Eggs2)
205   EggR2   28F/3   0923   Sisters defeated (small spikes gone from EggR2)
207   EggX2   291/4   0940   Opens door from EggX2 to Oside
206   EggX2   291/5   0941   Kazuma entered EggX2
208   Oside   294/0   0960   Told Kazuma you'd escape with him (triggers bad ending if you talk to him in Oside)
243   Oside   294/1   0961   Kazuma and Sky Dragon not in Oside
214   Itoh    299/0   1000   Scared Itoh
217   Itoh    299/1   1001   Talked to Itoh once
218   Itoh    299/2   1002   Talked to Itoh twice
254   Itoh    299/3   1003   ITEM - Controller
260   Itoh    299/4   1004   Itoh not in Itoh (the storehouse)
246   Cent    29B/4   1020   EQUIP - Mimiga Mask (note: there's a jump in the credits, but it doesn't change anything - was he going to have different illustrations?)
231   Cent    29B/5   1021   Kanpachi in Cent with bucket, sparkle not in Cent (he caught it)
233   Cent    29B/6   1022   ITEM - Teleporter Room Key
234   Cent    29B/7   1023   Opens door from Cent to CentW
241   Cent    29C/0   1024   Know Momorin's password (can enter door from Cent to Momo)
215   Cent    29C/1   1025   Red Flowers growing in Cent
239   Cent    29C/2   1026   Red Flowers blooming in Cent
247   Cent    29C/3   1027   Leftmost (working) sprinkler not in Cent
248   Cent    29C/4   1028   Broken Sprinkler in Cent
250   Cent    29C/5   1029   Can get Broken Sprinkler (after Shovel Brigade guy tells you to replace it)
263   Cent    29C/6   1030   Rocket is finished (opens door from Cent to Priso1/Priso2)
262   Cent    29C/7   1031   Itoh in Cent
261   Cent    29D/0   1032   Momorin in Cent
256   Cent    29D/1   1033   Shovel Brigade and other Mimigas taken away
264   Cent    29D/2   1034   Momorin took Mimiga Mask and gave back Booster
232   Cent    29D/3   1035   Can get Teleporter Room Key (Kanpachi told you he caught something)
258   Cent    29D/4   1036   Red Flowers, Sprinklers not in Cent (petals are left)
249   Cent    29D/5   1037   Talked to Shovel Brigade (the talkative one) without Mimiga Mask once
216   Cent    29D/6   1038    [set after meeting Itoh, cleared after long sleep in Momo]
257   Cent    29D/7   1039    [set after long sleep in Momo - Drolls gone, Puppy appears, more? rocket?]
265   Cent    29E/0   1040   POWER-UP - Life Capsule in Cent (2)
220   Cent    29E/1   1041   Talked to Curly in Cent once
194   Cent    29E/2   1042   Curly survived after Stream (can get Nikumaru Counter)
221   Cent    29E/3   1043   POWER-UP - Life Capsule in Cent (1)
219   Cent    29E/4   1044   Talked to Cthulhu in Cent once
228   Cent    29E/5   1045   Restored Curly's memory
229   Cent    29E/6   1046   ITEM - Iron Bond
238   Jail1   2A3/0   1080   Talked to Mahin in Jail1 once
240   Jail1   2A3/1   1081   Talked to Mahin in Jail1 twice
235   Jail1   2A3/2   1082   Sue and Jack not in Jail1
242   Momo    2A5/4   1100   Talked to Momorin once
245   Momo    2A5/5   1101   ITEM - Mimiga Mask
253   Momo    2A5/6   1102   Know to talk to Itoh for Momorin (note: sprinklers in Cent use this for dialogue, but should probably use 1121)
255   Momo    2A5/7   1103   Can use bed in Momo (long sleep)
259   Momo    2A6/1   1105   Momorin not in Momo
244   Momo    2A6/2   1106   Gave Booster to Momorin
252   Momo    2A6/3   1107   Gave Sprinkler to Momorin
230   Lounge  2A8/0   1120   Kanpachi not in Lounge
251   Lounge  2A8/1   1121   ITEM - Sprinkler
236   CentW   2AA/4   1140   Was captured by Droll (doesn't appear again)
237   CentW   2AA/5   1141   Used Teleporter in CentW once (redundant with 1140 set)
267   Blcny1  2B0/6   1190   Entered Blcny1 from Priso1/Priso2 (changes teleport from clouds at top of screen)
268   Blcny1  2B0/7   1191   Entered Blcny1 from Prefa1/Prefa2 (changes teleport from clouds at top of screen)
269   Blcny1  2B1/0   1192   Entered Blcny1 from Ring1 (changes teleport from clouds at top of screen)
270   Ring1   2B8/2   1250    [not sure how this is set - Misery not in Ring1]
272   Ring2   2BA/6   1270   Defeated Doctor (Mimiga dialogues change)
271   Ring2   2BA/7   1271   Started fighting Doctor   (note: not currently fighting, since it never gets unset)
273   Ring2   2BB/0   1272   Talked to Chaco once after defeating Doctor
278   Ring2   2BB/1   1273    [mimigas gone from Ring2? set after island starts to collapse]
274   Ring2   2BB/2   1274   Hearts appeared in Ring2 (talk to Chaco twice defeating Doctor)
029   Cthu    2BD/2   1290   Talked to Cthulhu in Cthu once
266   Priso2  2C1/0   1320   ITEM - Clay Figure Medal (after defeating Red Demon)
275   Ring3   2C3/4   1340    [something with Undead Core fight]
277   Ring3   2C3/5   1341    [island is collapsing - makes screen shake?]
211   Little  2C7/2   1370   Little Man is in Little
209   Little  2C7/3   1371   Can get Little Man (talked to Little Man's Wife)
212   Little  2C7/4   1372   Traded Blade for Nemesis
 X    Little  2C7/5   1373    [UNUSED - never set, Little Man dialogue jump target doesn't exist - there's also an incomplete event in the script]
279   Blcny2  2C9/6   1390   Helicopter in Blcny2
280   Blcny2  2C9/7   1391   Sue in Blcny2 near Ring1 entrance
281   Blcny2  2CA/0   1392   Sue in Blcny2 at cliff's edge
276   Blcny2  2CA/1   1393   Opens door from Blcny2 to Prefa2
185   Pixel   2D0/0   1440   Curly on bed
187   Pixel   2D0/1   1441   Can drain Curly (after reading notebook)
188   Pixel   2D0/2   1442   Curly drained
189   Pixel   2D0/3   1443   Can take Curly from bed (after reboot time message)
190   Pixel   2D0/4   1444   Currently have Curly (drained) on your back
186   Pixel   2D0/5   1445   Can read notebook (after using computer)
295   Fall    2D2/4   1460    [set when carried by Balrog, but has no effect?]
285   Hell*   2DB/2   1530   POWER-UP - Life Capsule in Hell1
283   Hell*   2DB/3   1531   Curly is in Hell1
286   Hell*   2DB/4   1532   Currently have Curly (not shooting) on your back
287   Hell*   2DB/5   1533   Currently have Curly (shooting) on your back
282   Hell*   2DB/6   1534    [enables Hell enemies etc.?  set when entering Hell1 from Prefa2, so there's no avoiding it]
284   Hell3   2DD/6   1550    [changes something when entering Hell3 from Hell2?  set when entering Hell1, cleared after defeating Heavy Press?]
288   Hell3   2DD/7   1551   POWER-UP - Missiles in Hell3 (note: if you get the Missile Launcher here, it has 100 ammo)
227   Mapi    2DF/0   1560    [Ma Pignon not in Mapi - how is this set?]
223   Mapi    2DF/1   1561   Mentioned amnesia to Ma Pignon
224   Mapi    2DF/2   1562   ITEM - Mushroom Badge
225   Mapi    2DF/3   1563   Viewed Mushroom Badge description on menu (so you know it's worthless)
226   Mapi    2DF/4   1564   Currently fighting Ma Pignon (locks door from Mapi to Cemet)
289   Statue  2E2/6   1590   Shot Statue 1
290   Statue  2E2/7   1591   Shot Statue 2
291   Statue  2E3/0   1592   Shot Statue 3
292   Statue  2E3/1   1593   Shot Statue 4
294   Ballo1  2E4/0   1600   Fought Ballos Head once (must kill it twice to finally defeat him)
293   Ostep   2E6/4   1620   Ballos's dog not in Ostep
004   Pole    2E9/0   1640   ITEM - Polar Star
007   Pole    2E9/1   1641   Hermit Gunsmith not asleep in Pole
008   Pole    2E9/2   1642   Signpost in Pole
181   Pole    2E9/3   1643   Hermit Gunsmith awake in Pole
199   Pole    2E9/4   1644   ITEM - Spur
213   Clock   2F0/4   1700   ITEM - Nikumaru Counter
296   End*    316/0   2000   Got best ending (set when carried by Balrog)
096   Puppy*  393/0   3000   Current Puppy is Hajime
104   Puppy*  393/1   3001   Current Puppy is Mick
108   Puppy*  393/2   3002   Current Puppy is Shinobu
111   Puppy*  393/3   3003   Current Puppy is Kakeru
114   Puppy*  393/4   3004   Current Puppy is Nene
167   Water*  410/0   4000    [rising water? set after defeating core, cleared after drowning cutscene]

              603/7   7999   Highest possible flag in profile.dat - anything higher will not be saved

Chron = chronological order (approx.)
Group = flags are broken up into groups in the game, each one starting at a multiple of 10
        groups are named here by the map filename, * means no or multiple maps correspond to the group
FLAG  = profile.dat byte/bit
TSC   = script command, entity flagID



SKIPFLAGS (SK+/SK-/SKJ)
=========
0001  Ring2   Doctor fight intro
0002  Ring1   Misery fight intro
0003  Gard    Frenzied Kokoro fight intro
0004  Ring3   Undead Core fight intro
0005  Start   Game intro (Kazuma at computer)
0006  Almond  Core fight intro (Curly)
0007  Sand    Omega fight intro (Misery)
0020  Hell1   Ballos story part 1
0021  Hell1   Ballos story part 2
0022  Hell2   Ballos story part 3
0023  Hell2   Ballos story part 4
0024  Hell3   Ballos story part 5
0025  Hell3   Ballos story part 6
0026  Hell42  Ballos story part 7
